Unnamed: 0,Year,Home_goals,Away_goals,Home Team,Away Team,Home Team ISO,Away Team ISO,Home_result,Population_Home,Population_Away
0,1930,4,1,france,mexico,FRA,MEX,W,,
1,1930,3,0,usa,belgium,USA,BEL,W,,
2,1930,2,1,yugoslavia,brazil,YUG,BRA,W,,
3,1930,3,1,romania,peru,ROU,PER,W,,
4,1930,1,0,argentina,france,ARG,FRA,W,,
5,1930,3,0,chile,mexico,CHL,MEX,W,,
6,1930,4,0,yugoslavia,bolivia,YUG,BOL,W,,
7,1930,3,0,usa,paraguay,USA,PRY,W,,
8,1930,1,0,uruguay,peru,URY,PER,W,,
9,1930,1,0,chile,france,CHL,FRA,W,,
10,1930,6,3,argentina,mexico,ARG,MEX,W,,
11,1930,4,0,brazil,bolivia,BRA,BOL,W,,
12,1930,1,0,paraguay,belgium,PRY,BEL,W,,
13,1930,4,0,uruguay,romania,URY,ROU,W,,
14,1930,3,1,argentina,chile,ARG,CHL,W,,
15,1930,6,1,argentina,usa,ARG,USA,W,,
16,1930,6,1,uruguay,yugoslavia,URY,YUG,W,,
17,1930,4,2,uruguay,argentina,URY,ARG,W,,
18,1934,3,2,austria,france,AUT,FRA,W,,
19,1934,4,2,hungary,egypt,HUN,EGY,W,,
20,1934,3,2,switzerland,netherlands,CHE,NLD,W,,
21,1934,3,2,sweden,argentina,SWE,ARG,W,,
22,1934,5,2,germany,belgium,DEU,BEL,W,,
23,1934,3,1,spain,brazil,ESP,BRA,W,,
24,1934,7,1,italy,usa,ITA,USA,W,,
25,1934,2,1,czechoslovakia,romania,CZE,ROU,W,,
26,1934,3,2,czechoslovakia,switzerland,CZE,CHE,W,,
27,1934,2,1,germany,sweden,DEU,SWE,W,,
28,1934,1,1,italy,spain,ITA,ESP,D,,
29,1934,2,1,austria,hungary,AUT,HUN,W,,
30,1934,1,0,italy,spain,ITA,ESP,W,,
31,1934,1,0,italy,austria,ITA,AUT,W,,
32,1934,3,1,czechoslovakia,germany,CZE,DEU,W,,
33,1934,3,2,germany,austria,DEU,AUT,W,,
34,1934,2,1,italy,czechoslovakia,ITA,CZE,W,,
35,1938,1,1,switzerland,germany,CHE,DEU,D,,
36,1938,6,0,hungary,dutch east indies,HUN,INH,W,,
37,1938,3,1,france,belgium,FRA,BEL,W,,
38,1938,3,3,cuba,romania,CUB,ROU,D,,
39,1938,2,1,italy,norway,ITA,NOR,W,,
40,1938,6,5,brazil,poland,BRA,POL,W,,
41,1938,3,0,czechoslovakia,netherlands,CZE,NLD,W,,
42,1938,2,1,cuba,romania,CUB,ROU,W,,
43,1938,4,2,switzerland,germany,CHE,DEU,W,,
44,1938,1,1,brazil,czechoslovakia,BRA,CZE,D,,
45,1938,2,0,hungary,switzerland,HUN,CHE,W,,
46,1938,8,0,sweden,cuba,SWE,CUB,W,,
47,1938,3,1,italy,france,ITA,FRA,W,,
48,1938,2,1,brazil,czechoslovakia,BRA,CZE,W,,
49,1938,5,1,hungary,sweden,HUN,SWE,W,,
50,1938,2,1,italy,brazil,ITA,BRA,W,,
51,1938,4,2,brazil,sweden,BRA,SWE,W,,
52,1938,4,2,italy,hungary,ITA,HUN,W,,
53,1950,4,0,brazil,mexico,BRA,MEX,W,,
54,1950,2,0,england,chile,ENG,CHL,W,,
55,1950,3,1,spain,usa,ESP,USA,W,,
56,1950,3,2,sweden,italy,SWE,ITA,W,,
57,1950,3,0,yugoslavia,switzerland,YUG,CHE,W,,
58,1950,2,2,brazil,switzerland,BRA,CHE,D,,
59,1950,4,1,yugoslavia,mexico,YUG,MEX,W,,
60,1950,2,0,spain,chile,ESP,CHL,W,,
61,1950,2,2,sweden,paraguay,SWE,PRY,D,,
62,1950,1,0,usa,england,USA,ENG,W,,
63,1950,2,0,brazil,yugoslavia,BRA,YUG,W,,
64,1950,1,0,spain,england,ESP,ENG,W,,
65,1950,2,0,italy,paraguay,ITA,PRY,W,,
66,1950,8,0,uruguay,bolivia,URY,BOL,W,,
67,1950,2,1,switzerland,mexico,CHE,MEX,W,,
68,1950,5,2,chile,usa,CHL,USA,W,,
69,1950,2,2,uruguay,spain,URY,ESP,D,,
70,1950,7,1,brazil,sweden,BRA,SWE,W,,
71,1950,6,1,brazil,spain,BRA,ESP,W,,
72,1950,3,2,uruguay,sweden,URY,SWE,W,,
73,1950,3,1,sweden,spain,SWE,ESP,W,,
74,1950,2,1,uruguay,brazil,URY,BRA,W,,
75,1954,2,0,uruguay,czechoslovakia,URY,CZE,W,,
76,1954,1,0,austria,scotland,AUT,SCT,W,,
77,1954,5,0,brazil,mexico,BRA,MEX,W,,
78,1954,1,0,yugoslavia,france,YUG,FRA,W,,
79,1954,4,1,germany fr,turkey,DEU,TUR,W,,
80,1954,9,0,hungary,korea republic,HUN,KOR,W,,
81,1954,4,4,england,belgium,ENG,BEL,D,,
82,1954,2,1,switzerland,italy,CHE,ITA,W,,
83,1954,7,0,uruguay,scotland,URY,SCT,W,,
84,1954,5,0,austria,czechoslovakia,AUT,CZE,W,,
85,1954,3,2,france,mexico,FRA,MEX,W,,
86,1954,1,1,brazil,yugoslavia,BRA,YUG,D,,
87,1954,8,3,hungary,germany fr,HUN,DEU,W,,
88,1954,7,0,turkey,korea republic,TUR,KOR,W,,
89,1954,2,0,england,switzerland,ENG,CHE,W,,
90,1954,4,1,italy,belgium,ITA,BEL,W,,
91,1954,7,2,germany fr,turkey,DEU,TUR,W,,
92,1954,4,1,switzerland,italy,CHE,ITA,W,,
93,1954,4,2,uruguay,england,URY,ENG,W,,
94,1954,7,5,austria,switzerland,AUT,CHE,W,,
95,1954,2,0,germany fr,yugoslavia,DEU,YUG,W,,
96,1954,4,2,hungary,brazil,HUN,BRA,W,,
97,1954,6,1,germany fr,austria,DEU,AUT,W,,
98,1954,4,2,hungary,uruguay,HUN,URY,W,,
99,1954,3,1,austria,uruguay,AUT,URY,W,,
100,1954,3,2,germany fr,hungary,DEU,HUN,W,,
101,1958,3,0,sweden,mexico,SWE,MEX,W,,
102,1958,2,2,soviet union,england,SUN,ENG,D,,
103,1958,1,3,argentina,germany fr,ARG,DEU,L,,
104,1958,1,1,hungary,wales,HUN,WLS,D,,
105,1958,7,3,france,paraguay,FRA,PRY,W,,
106,1958,1,1,yugoslavia,scotland,YUG,SCT,D,,
107,1958,3,0,brazil,austria,BRA,AUT,W,,
108,1958,1,0,northern ireland,czechoslovakia,NIL,CZE,W,,
109,1958,0,0,brazil,england,BRA,ENG,D,,
110,1958,1,1,mexico,wales,MEX,WLS,D,,
111,1958,3,2,paraguay,scotland,PRY,SCT,W,,
112,1958,3,2,yugoslavia,france,YUG,FRA,W,,
113,1958,2,0,soviet union,austria,SUN,AUT,W,,
114,1958,2,2,germany fr,czechoslovakia,DEU,CZE,D,,
115,1958,3,1,argentina,northern ireland,ARG,NIL,W,,
116,1958,2,1,sweden,hungary,SWE,HUN,W,,
117,1958,0,0,sweden,wales,SWE,WLS,D,,
118,1958,2,0,brazil,soviet union,BRA,SUN,W,,
119,1958,2,2,germany fr,northern ireland,DEU,NIL,D,,
120,1958,4,0,hungary,mexico,HUN,MEX,W,,
121,1958,3,3,paraguay,yugoslavia,PRY,YUG,D,,
122,1958,2,1,france,scotland,FRA,SCT,W,,
123,1958,2,2,england,austria,ENG,AUT,D,,
124,1958,6,1,czechoslovakia,argentina,CZE,ARG,W,,
125,1958,1,0,soviet union,england,SUN,ENG,W,,
126,1958,2,1,northern ireland,czechoslovakia,NIL,CZE,W,,
127,1958,2,1,wales,hungary,WLS,HUN,W,,
128,1958,1,0,brazil,wales,BRA,WLS,W,,
129,1958,1,0,germany fr,yugoslavia,DEU,YUG,W,,
130,1958,2,0,sweden,soviet union,SWE,SUN,W,,
131,1958,4,0,france,northern ireland,FRA,NIL,W,,
132,1958,3,1,sweden,germany fr,SWE,DEU,W,,
133,1958,5,2,brazil,france,BRA,FRA,W,,
134,1958,6,3,france,germany fr,FRA,DEU,W,,
135,1958,5,2,brazil,sweden,BRA,SWE,W,,
136,1962,2,1,uruguay,colombia,URY,COL,W,2592441.0,16691282.0
137,1962,2,0,brazil,mexico,BRA,MEX,W,77599218.0,38683283.0
138,1962,1,0,argentina,bulgaria,ARG,BGR,W,21020359.0,8012946.0
139,1962,3,1,chile,switzerland,CHL,CHE,W,8486120.0,5573815.0
140,1962,2,0,soviet union,yugoslavia,SUN,YUG,W,,
141,1962,1,0,czechoslovakia,spain,CZE,ESP,W,9624660.0,31023366.0
142,1962,2,1,hungary,england,HUN,ENG,W,10061734.0,
143,1962,0,0,germany fr,italy,DEU,ITA,D,74025784.0,50879450.0
144,1962,3,1,yugoslavia,uruguay,YUG,URY,W,,2592441.0
145,1962,0,0,brazil,czechoslovakia,BRA,CZE,D,77599218.0,9624660.0
146,1962,3,1,england,argentina,ENG,ARG,W,,21020359.0
147,1962,2,0,chile,italy,CHL,ITA,W,8486120.0,50879450.0
148,1962,4,4,soviet union,colombia,SUN,COL,D,,16691282.0
149,1962,1,0,spain,mexico,ESP,MEX,W,31023366.0,38683283.0
150,1962,6,1,hungary,bulgaria,HUN,BGR,W,10061734.0,8012946.0
151,1962,2,1,germany fr,switzerland,DEU,CHE,W,74025784.0,5573815.0
152,1962,2,1,soviet union,uruguay,SUN,URY,W,,2592441.0
153,1962,2,1,brazil,spain,BRA,ESP,W,77599218.0,31023366.0
154,1962,0,0,hungary,argentina,HUN,ARG,D,10061734.0,21020359.0
155,1962,2,0,germany fr,chile,DEU,CHL,W,74025784.0,8486120.0
156,1962,5,0,yugoslavia,colombia,YUG,COL,W,,16691282.0
157,1962,3,1,mexico,czechoslovakia,MEX,CZE,W,38683283.0,9624660.0
158,1962,0,0,england,bulgaria,ENG,BGR,D,,8012946.0
159,1962,3,0,italy,switzerland,ITA,CHE,W,50879450.0,5573815.0
160,1962,2,1,chile,soviet union,CHL,SUN,W,8486120.0,
161,1962,3,1,brazil,england,BRA,ENG,W,77599218.0,
162,1962,1,0,czechoslovakia,hungary,CZE,HUN,W,9624660.0,10061734.0
163,1962,1,0,yugoslavia,germany fr,YUG,DEU,W,,74025784.0
164,1962,3,1,czechoslovakia,yugoslavia,CZE,YUG,W,9624660.0,
165,1962,4,2,brazil,chile,BRA,CHL,W,77599218.0,8486120.0
166,1962,1,0,chile,yugoslavia,CHL,YUG,W,8486120.0,
167,1962,3,1,brazil,czechoslovakia,BRA,CZE,W,77599218.0,9624660.0
168,1966,0,0,england,uruguay,ENG,URY,D,,2707030.0
169,1966,5,0,germany fr,switzerland,DEU,CHE,W,76600311.0,5918002.0
170,1966,2,0,brazil,bulgaria,BRA,BGR,W,86979283.0,8258057.0
171,1966,3,0,soviet union,korea dpr,SUN,PRK,W,,13444048.0
172,1966,1,1,france,mexico,FRA,MEX,D,49817041.0,44180437.0
173,1966,3,1,portugal,hungary,PRT,HUN,W,8930990.0,10178653.0
174,1966,2,1,argentina,spain,ARG,ESP,W,22403116.0,32283194.0
175,1966,2,0,italy,chile,ITA,CHL,W,52519000.0,9161649.0
176,1966,2,1,uruguay,france,URY,FRA,W,2707030.0,49817041.0
177,1966,2,1,spain,switzerland,ESP,CHE,W,32283194.0,5918002.0
178,1966,3,1,hungary,brazil,HUN,BRA,W,10178653.0,86979283.0
179,1966,1,1,korea dpr,chile,PRK,CHL,D,13444048.0,9161649.0
180,1966,3,0,portugal,bulgaria,PRT,BGR,W,8930990.0,8258057.0
181,1966,0,0,germany fr,argentina,DEU,ARG,D,76600311.0,22403116.0
182,1966,1,0,soviet union,italy,SUN,ITA,W,,52519000.0
183,1966,2,0,england,mexico,ENG,MEX,W,,44180437.0
184,1966,0,0,uruguay,mexico,URY,MEX,D,2707030.0,44180437.0
185,1966,2,0,argentina,switzerland,ARG,CHE,W,22403116.0,5918002.0
186,1966,3,1,portugal,brazil,PRT,BRA,W,8930990.0,86979283.0
187,1966,1,0,korea dpr,italy,PRK,ITA,W,13444048.0,52519000.0
188,1966,2,0,england,france,ENG,FRA,W,,49817041.0
189,1966,3,1,hungary,bulgaria,HUN,BGR,W,10178653.0,8258057.0
190,1966,2,1,germany fr,spain,DEU,ESP,W,76600311.0,32283194.0
191,1966,2,1,soviet union,chile,SUN,CHL,W,,9161649.0
192,1966,1,0,england,argentina,ENG,ARG,W,,22403116.0
193,1966,4,0,germany fr,uruguay,DEU,URY,W,76600311.0,2707030.0
194,1966,2,1,soviet union,hungary,SUN,HUN,W,,10178653.0
195,1966,5,3,portugal,korea dpr,PRT,PRK,W,8930990.0,13444048.0
