,Team,TotalGames,TotalWins
0,AGO,3,0
1,ARE,3,0
2,ARG,92,49
3,AUS,20,4
4,AUT,29,12
5,BEL,53,22
6,BGR,26,3
7,BIH,3,1
8,BOL,6,0
9,BRA,118,77
10,CAN,6,0
11,CHE,42,14
12,CHL,34,11
13,CHN,3,0
14,CIV,9,3
15,CMR,26,5
16,COD,3,0
17,COL,24,10
18,CRI,23,6
19,CUB,3,1
20,CZE,33,12
21,DEU,122,74
22,DNK,23,9
23,DZA,14,3
24,ECU,13,5
25,EGY,7,0
26,ENG,74,32
27,ESP,67,31
28,FRA,75,39
29,GHA,15,5
30,GRC,11,2
31,HND,9,0
32,HRV,30,14
33,HTI,3,0
34,HUN,32,15
35,INH,1,0
36,IRL,13,2
37,IRN,18,3
38,IRQ,3,0
39,ISL,3,0
40,ISR,3,0
41,ITA,83,45
42,JAM,3,1
43,JPN,25,7
44,KOR,38,7
45,KWT,3,0
46,MAR,23,5
47,MEX,61,17
48,NGA,22,6
49,NIL,13,3
50,NLD,59,32
51,NOR,8,2
52,NZL,6,0
53,PAN,3,0
54,PER,18,5
55,POL,38,17
56,PRK,7,1
57,PRT,35,17
58,PRY,27,7
59,QAT,3,0
60,ROU,21,8
61,RUS,14,4
62,SAU,19,4
63,SCG,3,0
64,SCT,23,4
65,SEN,12,5
66,SLV,6,0
67,SRB,9,2
68,SUN,31,15
69,SVK,4,1
70,SVN,6,1
71,SWE,51,19
72,TGO,3,0
73,TTO,3,0
74,TUN,18,3
75,TUR,10,5
76,UKR,5,2
77,URY,60,25
78,USA,38,9
79,WLS,8,1
80,YUG,37,16
81,ZAF,9,2
