,Year,Home_goals,Away_goals,Home Team,Away Team,Home Team ISO,Away Team ISO,Home_result
0,1930,4,1,France,Mexico,FRA,MEX,W
1,1930,3,0,USA,Belgium,USA,BEL,W
2,1930,2,1,Yugoslavia,Brazil,YUG,BRA,W
3,1930,3,1,Romania,Peru,ROU,PER,W
4,1930,1,0,Argentina,France,ARG,FRA,W
5,1930,3,0,Chile,Mexico,CHL,MEX,W
6,1930,4,0,Yugoslavia,Bolivia,YUG,BOL,W
7,1930,3,0,USA,Paraguay,USA,PRY,W
8,1930,1,0,Uruguay,Peru,URY,PER,W
9,1930,1,0,Chile,France,CHL,FRA,W
10,1930,6,3,Argentina,Mexico,ARG,MEX,W
11,1930,4,0,Brazil,Bolivia,BRA,BOL,W
12,1930,1,0,Paraguay,Belgium,PRY,BEL,W
13,1930,4,0,Uruguay,Romania,URY,ROU,W
14,1930,3,1,Argentina,Chile,ARG,CHL,W
15,1930,6,1,Argentina,USA,ARG,USA,W
16,1930,6,1,Uruguay,Yugoslavia,URY,YUG,W
17,1930,4,2,Uruguay,Argentina,URY,ARG,W
18,1934,3,2,Austria,France,AUT,FRA,W
19,1934,4,2,Hungary,Egypt,HUN,EGY,W
20,1934,3,2,Switzerland,Netherlands,CHE,NLD,W
21,1934,3,2,Sweden,Argentina,SWE,ARG,W
22,1934,5,2,Germany,Belgium,DEU,BEL,W
23,1934,3,1,Spain,Brazil,ESP,BRA,W
24,1934,7,1,Italy,USA,ITA,USA,W
25,1934,2,1,Czechoslovakia,Romania,CZE,ROU,W
26,1934,3,2,Czechoslovakia,Switzerland,CZE,CHE,W
27,1934,2,1,Germany,Sweden,DEU,SWE,W
28,1934,1,1,Italy,Spain,ITA,ESP,D
29,1934,2,1,Austria,Hungary,AUT,HUN,W
30,1934,1,0,Italy,Spain,ITA,ESP,W
31,1934,1,0,Italy,Austria,ITA,AUT,W
32,1934,3,1,Czechoslovakia,Germany,CZE,DEU,W
33,1934,3,2,Germany,Austria,DEU,AUT,W
34,1934,2,1,Italy,Czechoslovakia,ITA,CZE,W
35,1938,1,1,Switzerland,Germany,CHE,DEU,D
36,1938,6,0,Hungary,Dutch East Indies,HUN,INH,W
37,1938,3,1,France,Belgium,FRA,BEL,W
38,1938,3,3,Cuba,Romania,CUB,ROU,D
39,1938,2,1,Italy,Norway,ITA,NOR,W
40,1938,6,5,Brazil,Poland,BRA,POL,W
41,1938,3,0,Czechoslovakia,Netherlands,CZE,NLD,W
42,1938,2,1,Cuba,Romania,CUB,ROU,W
43,1938,4,2,Switzerland,Germany,CHE,DEU,W
44,1938,1,1,Brazil,Czechoslovakia,BRA,CZE,D
45,1938,2,0,Hungary,Switzerland,HUN,CHE,W
46,1938,8,0,Sweden,Cuba,SWE,CUB,W
47,1938,3,1,Italy,France,ITA,FRA,W
48,1938,2,1,Brazil,Czechoslovakia,BRA,CZE,W
49,1938,5,1,Hungary,Sweden,HUN,SWE,W
50,1938,2,1,Italy,Brazil,ITA,BRA,W
51,1938,4,2,Brazil,Sweden,BRA,SWE,W
52,1938,4,2,Italy,Hungary,ITA,HUN,W
53,1950,4,0,Brazil,Mexico,BRA,MEX,W
54,1950,2,0,England,Chile,ENG,CHL,W
55,1950,3,1,Spain,USA,ESP,USA,W
56,1950,3,2,Sweden,Italy,SWE,ITA,W
57,1950,3,0,Yugoslavia,Switzerland,YUG,CHE,W
58,1950,2,2,Brazil,Switzerland,BRA,CHE,D
59,1950,4,1,Yugoslavia,Mexico,YUG,MEX,W
60,1950,2,0,Spain,Chile,ESP,CHL,W
61,1950,2,2,Sweden,Paraguay,SWE,PRY,D
62,1950,1,0,USA,England,USA,ENG,W
63,1950,2,0,Brazil,Yugoslavia,BRA,YUG,W
64,1950,1,0,Spain,England,ESP,ENG,W
65,1950,2,0,Italy,Paraguay,ITA,PRY,W
66,1950,8,0,Uruguay,Bolivia,URY,BOL,W
67,1950,2,1,Switzerland,Mexico,CHE,MEX,W
68,1950,5,2,Chile,USA,CHL,USA,W
69,1950,2,2,Uruguay,Spain,URY,ESP,D
70,1950,7,1,Brazil,Sweden,BRA,SWE,W
71,1950,6,1,Brazil,Spain,BRA,ESP,W
72,1950,3,2,Uruguay,Sweden,URY,SWE,W
73,1950,3,1,Sweden,Spain,SWE,ESP,W
74,1950,2,1,Uruguay,Brazil,URY,BRA,W
75,1954,2,0,Uruguay,Czechoslovakia,URY,CZE,W
76,1954,1,0,Austria,Scotland,AUT,SCT,W
77,1954,5,0,Brazil,Mexico,BRA,MEX,W
78,1954,1,0,Yugoslavia,France,YUG,FRA,W
79,1954,4,1,Germany FR,Turkey,DEU,TUR,W
80,1954,9,0,Hungary,Korea Republic,HUN,KOR,W
81,1954,4,4,England,Belgium,ENG,BEL,D
82,1954,2,1,Switzerland,Italy,CHE,ITA,W
83,1954,7,0,Uruguay,Scotland,URY,SCT,W
84,1954,5,0,Austria,Czechoslovakia,AUT,CZE,W
85,1954,3,2,France,Mexico,FRA,MEX,W
86,1954,1,1,Brazil,Yugoslavia,BRA,YUG,D
87,1954,8,3,Hungary,Germany FR,HUN,DEU,W
88,1954,7,0,Turkey,Korea Republic,TUR,KOR,W
89,1954,2,0,England,Switzerland,ENG,CHE,W
90,1954,4,1,Italy,Belgium,ITA,BEL,W
91,1954,7,2,Germany FR,Turkey,DEU,TUR,W
92,1954,4,1,Switzerland,Italy,CHE,ITA,W
93,1954,4,2,Uruguay,England,URY,ENG,W
94,1954,7,5,Austria,Switzerland,AUT,CHE,W
95,1954,2,0,Germany FR,Yugoslavia,DEU,YUG,W
96,1954,4,2,Hungary,Brazil,HUN,BRA,W
97,1954,6,1,Germany FR,Austria,DEU,AUT,W
98,1954,4,2,Hungary,Uruguay,HUN,URY,W
99,1954,3,1,Austria,Uruguay,AUT,URY,W
100,1954,3,2,Germany FR,Hungary,DEU,HUN,W
101,1958,3,0,Sweden,Mexico,SWE,MEX,W
102,1958,2,2,Soviet Union,England,SUN,ENG,D
103,1958,1,3,Argentina,Germany FR,ARG,DEU,L
104,1958,1,1,Hungary,Wales,HUN,WLS,D
105,1958,7,3,France,Paraguay,FRA,PRY,W
106,1958,1,1,Yugoslavia,Scotland,YUG,SCT,D
107,1958,3,0,Brazil,Austria,BRA,AUT,W
108,1958,1,0,Northern Ireland,Czechoslovakia,NIL,CZE,W
109,1958,0,0,Brazil,England,BRA,ENG,D
110,1958,1,1,Mexico,Wales,MEX,WLS,D
111,1958,3,2,Paraguay,Scotland,PRY,SCT,W
112,1958,3,2,Yugoslavia,France,YUG,FRA,W
113,1958,2,0,Soviet Union,Austria,SUN,AUT,W
114,1958,2,2,Germany FR,Czechoslovakia,DEU,CZE,D
115,1958,3,1,Argentina,Northern Ireland,ARG,NIL,W
116,1958,2,1,Sweden,Hungary,SWE,HUN,W
117,1958,0,0,Sweden,Wales,SWE,WLS,D
118,1958,2,0,Brazil,Soviet Union,BRA,SUN,W
119,1958,2,2,Germany FR,Northern Ireland,DEU,NIL,D
120,1958,4,0,Hungary,Mexico,HUN,MEX,W
121,1958,3,3,Paraguay,Yugoslavia,PRY,YUG,D
122,1958,2,1,France,Scotland,FRA,SCT,W
123,1958,2,2,England,Austria,ENG,AUT,D
124,1958,6,1,Czechoslovakia,Argentina,CZE,ARG,W
125,1958,1,0,Soviet Union,England,SUN,ENG,W
126,1958,2,1,Northern Ireland,Czechoslovakia,NIL,CZE,W
127,1958,2,1,Wales,Hungary,WLS,HUN,W
128,1958,1,0,Brazil,Wales,BRA,WLS,W
129,1958,1,0,Germany FR,Yugoslavia,DEU,YUG,W
130,1958,2,0,Sweden,Soviet Union,SWE,SUN,W
131,1958,4,0,France,Northern Ireland,FRA,NIL,W
132,1958,3,1,Sweden,Germany FR,SWE,DEU,W
133,1958,5,2,Brazil,France,BRA,FRA,W
134,1958,6,3,France,Germany FR,FRA,DEU,W
135,1958,5,2,Brazil,Sweden,BRA,SWE,W
136,1962,2,1,Uruguay,Colombia,URY,COL,W
137,1962,2,0,Brazil,Mexico,BRA,MEX,W
138,1962,1,0,Argentina,Bulgaria,ARG,BGR,W
139,1962,3,1,Chile,Switzerland,CHL,CHE,W
140,1962,2,0,Soviet Union,Yugoslavia,SUN,YUG,W
141,1962,1,0,Czechoslovakia,Spain,CZE,ESP,W
142,1962,2,1,Hungary,England,HUN,ENG,W
143,1962,0,0,Germany FR,Italy,DEU,ITA,D
144,1962,3,1,Yugoslavia,Uruguay,YUG,URY,W
145,1962,0,0,Brazil,Czechoslovakia,BRA,CZE,D
146,1962,3,1,England,Argentina,ENG,ARG,W
147,1962,2,0,Chile,Italy,CHL,ITA,W
148,1962,4,4,Soviet Union,Colombia,SUN,COL,D
149,1962,1,0,Spain,Mexico,ESP,MEX,W
150,1962,6,1,Hungary,Bulgaria,HUN,BGR,W
151,1962,2,1,Germany FR,Switzerland,DEU,CHE,W
152,1962,2,1,Soviet Union,Uruguay,SUN,URY,W
153,1962,2,1,Brazil,Spain,BRA,ESP,W
154,1962,0,0,Hungary,Argentina,HUN,ARG,D
155,1962,2,0,Germany FR,Chile,DEU,CHL,W
156,1962,5,0,Yugoslavia,Colombia,YUG,COL,W
157,1962,3,1,Mexico,Czechoslovakia,MEX,CZE,W
158,1962,0,0,England,Bulgaria,ENG,BGR,D
159,1962,3,0,Italy,Switzerland,ITA,CHE,W
160,1962,2,1,Chile,Soviet Union,CHL,SUN,W
161,1962,3,1,Brazil,England,BRA,ENG,W
162,1962,1,0,Czechoslovakia,Hungary,CZE,HUN,W
163,1962,1,0,Yugoslavia,Germany FR,YUG,DEU,W
164,1962,3,1,Czechoslovakia,Yugoslavia,CZE,YUG,W
165,1962,4,2,Brazil,Chile,BRA,CHL,W
166,1962,1,0,Chile,Yugoslavia,CHL,YUG,W
167,1962,3,1,Brazil,Czechoslovakia,BRA,CZE,W
168,1966,0,0,England,Uruguay,ENG,URY,D
169,1966,5,0,Germany FR,Switzerland,DEU,CHE,W
170,1966,2,0,Brazil,Bulgaria,BRA,BGR,W
171,1966,3,0,Soviet Union,Korea DPR,SUN,PRK,W
172,1966,1,1,France,Mexico,FRA,MEX,D
173,1966,3,1,Portugal,Hungary,PRT,HUN,W
174,1966,2,1,Argentina,Spain,ARG,ESP,W
175,1966,2,0,Italy,Chile,ITA,CHL,W
176,1966,2,1,Uruguay,France,URY,FRA,W
177,1966,2,1,Spain,Switzerland,ESP,CHE,W
178,1966,3,1,Hungary,Brazil,HUN,BRA,W
179,1966,1,1,Korea DPR,Chile,PRK,CHL,D
180,1966,3,0,Portugal,Bulgaria,PRT,BGR,W
181,1966,0,0,Germany FR,Argentina,DEU,ARG,D
182,1966,1,0,Soviet Union,Italy,SUN,ITA,W
183,1966,2,0,England,Mexico,ENG,MEX,W
184,1966,0,0,Uruguay,Mexico,URY,MEX,D
185,1966,2,0,Argentina,Switzerland,ARG,CHE,W
186,1966,3,1,Portugal,Brazil,PRT,BRA,W
187,1966,1,0,Korea DPR,Italy,PRK,ITA,W
188,1966,2,0,England,France,ENG,FRA,W
189,1966,3,1,Hungary,Bulgaria,HUN,BGR,W
190,1966,2,1,Germany FR,Spain,DEU,ESP,W
191,1966,2,1,Soviet Union,Chile,SUN,CHL,W
192,1966,1,0,England,Argentina,ENG,ARG,W
193,1966,4,0,Germany FR,Uruguay,DEU,URY,W
194,1966,2,1,Soviet Union,Hungary,SUN,HUN,W
195,1966,5,3,Portugal,Korea DPR,PRT,PRK,W
196,1966,2,1,Germany FR,Soviet Union,DEU,SUN,W
197,1966,2,1,England,Portugal,ENG,PRT,W
198,1966,2,1,Portugal,Soviet Union,PRT,SUN,W
199,1966,4,2,England,Germany FR,ENG,DEU,W
200,1970,0,0,Mexico,Soviet Union,MEX,SUN,D
201,1970,2,0,Uruguay,Israel,URY,ISR,W
202,1970,3,2,Peru,Bulgaria,PER,BGR,W
203,1970,1,0,England,Romania,ENG,ROU,W
204,1970,1,0,Italy,Sweden,ITA,SWE,W
205,1970,2,1,Germany FR,Morocco,DEU,MAR,W
206,1970,4,1,Brazil,Czechoslovakia,BRA,CZE,W
207,1970,3,0,Belgium,El Salvador,BEL,SLV,W
208,1970,0,0,Uruguay,Italy,URY,ITA,D
209,1970,3,0,Peru,Morocco,PER,MAR,W
210,1970,2,1,Romania,Czechoslovakia,ROU,CZE,W
211,1970,4,1,Soviet Union,Belgium,SUN,BEL,W
212,1970,1,1,Sweden,Israel,SWE,ISR,D
213,1970,5,2,Germany FR,Bulgaria,DEU,BGR,W
