,Year,Home_goals,Away_goals,Home Team,Away Team
0,1930,4,1,FRA,MEX
1,1930,3,0,USA,BEL
2,1930,2,1,YUG,BRA
3,1930,3,1,ROU,PER
4,1930,1,0,ARG,FRA
5,1930,3,0,CHI,MEX
6,1930,4,0,YUG,BOL
7,1930,3,0,USA,PAR
8,1930,1,0,URU,PER
9,1930,1,0,CHI,FRA
10,1930,6,3,ARG,MEX
11,1930,4,0,BRA,BOL
12,1930,1,0,PAR,BEL
13,1930,4,0,URU,ROU
14,1930,3,1,ARG,CHI
15,1930,6,1,ARG,USA
16,1930,6,1,URU,YUG
17,1930,4,2,URU,ARG
18,1934,3,2,AUT,FRA
19,1934,4,2,HUN,EGY
20,1934,3,2,SUI,NED
21,1934,3,2,SWE,ARG
22,1934,5,2,GER,BEL
23,1934,3,1,ESP,BRA
24,1934,7,1,ITA,USA
25,1934,2,1,TCH,ROU
26,1934,3,2,TCH,SUI
27,1934,2,1,GER,SWE
28,1934,1,1,ITA,ESP
29,1934,2,1,AUT,HUN
30,1934,1,0,ITA,ESP
31,1934,1,0,ITA,AUT
32,1934,3,1,TCH,GER
33,1934,3,2,GER,AUT
34,1934,2,1,ITA,TCH
35,1938,1,1,SUI,GER
36,1938,6,0,HUN,INH
37,1938,3,1,FRA,BEL
38,1938,3,3,CUB,ROU
39,1938,2,1,ITA,NOR
40,1938,6,5,BRA,POL
41,1938,3,0,TCH,NED
42,1938,2,1,CUB,ROU
43,1938,4,2,SUI,GER
44,1938,1,1,BRA,TCH
45,1938,2,0,HUN,SUI
46,1938,8,0,SWE,CUB
47,1938,3,1,ITA,FRA
48,1938,2,1,BRA,TCH
49,1938,5,1,HUN,SWE
50,1938,2,1,ITA,BRA
51,1938,4,2,BRA,SWE
52,1938,4,2,ITA,HUN
53,1950,4,0,BRA,MEX
54,1950,2,0,ENG,CHI
55,1950,3,1,ESP,USA
56,1950,3,2,SWE,ITA
57,1950,3,0,YUG,SUI
58,1950,2,2,BRA,SUI
59,1950,4,1,YUG,MEX
60,1950,2,0,ESP,CHI
61,1950,2,2,SWE,PAR
62,1950,1,0,USA,ENG
63,1950,2,0,BRA,YUG
64,1950,1,0,ESP,ENG
65,1950,2,0,ITA,PAR
66,1950,8,0,URU,BOL
67,1950,2,1,SUI,MEX
68,1950,5,2,CHI,USA
69,1950,2,2,URU,ESP
70,1950,7,1,BRA,SWE
71,1950,6,1,BRA,ESP
72,1950,3,2,URU,SWE
73,1950,3,1,SWE,ESP
74,1950,2,1,URU,BRA
75,1954,2,0,URU,TCH
76,1954,1,0,AUT,SCO
77,1954,5,0,BRA,MEX
78,1954,1,0,YUG,FRA
79,1954,4,1,FRG,TUR
