,Year,Team,Wins,Losses,Draws,TeamsBeat,TeamsDraw,TeamsLoss,GoalsFor,GoalsAgainst
0,1930,FRA,1,2,0,['MEX'],[],"['ARG', 'CHL']",4.0,3.0
1,1930,MEX,0,3,0,[],[],"['FRA', 'CHL', 'ARG']",4.0,13.0
2,1930,USA,2,1,0,"['BEL', 'PRY']",[],['ARG'],7.0,6.0
3,1930,BEL,0,2,0,[],[],"['USA', 'PRY']",0.0,4.0
4,1930,YUG,2,1,0,"['BRA', 'BOL']",[],['URY'],7.0,7.0
5,1930,BRA,1,1,0,['BOL'],[],['YUG'],5.0,2.0
6,1930,ROU,1,1,0,['PER'],[],['URY'],3.0,5.0
7,1930,PER,0,2,0,[],[],"['ROU', 'URY']",1.0,4.0
8,1930,ARG,4,1,0,"['FRA', 'MEX', 'CHL', 'USA']",[],['URY'],18.0,9.0
9,1930,CHL,2,1,0,"['MEX', 'FRA']",[],['ARG'],5.0,3.0
10,1930,BOL,0,2,0,[],[],"['YUG', 'BRA']",0.0,8.0
11,1930,PRY,1,1,0,['BEL'],[],['USA'],1.0,3.0
12,1930,URY,4,0,0,"['PER', 'ROU', 'YUG', 'ARG']",[],[],15.0,3.0
13,1934,AUT,2,2,0,"['FRA', 'HUN']",[],"['ITA', 'DEU']",7.0,7.0
14,1934,FRA,0,1,0,[],[],['AUT'],2.0,3.0
15,1934,HUN,1,1,0,['EGY'],[],['AUT'],5.0,4.0
16,1934,EGY,0,1,0,[],[],['HUN'],2.0,4.0
17,1934,CHE,1,1,0,['NLD'],[],['CZE'],5.0,5.0
18,1934,NLD,0,1,0,[],[],['CHE'],2.0,3.0
19,1934,SWE,1,1,0,['ARG'],[],['DEU'],4.0,4.0
20,1934,ARG,0,1,0,[],[],['SWE'],2.0,3.0
21,1934,DEU,3,1,0,"['BEL', 'SWE', 'AUT']",[],['CZE'],11.0,8.0
22,1934,BEL,0,1,0,[],[],['DEU'],2.0,5.0
23,1934,ESP,1,1,1,['BRA'],['ITA'],['ITA'],4.0,3.0
24,1934,BRA,0,1,0,[],[],['ESP'],1.0,3.0
25,1934,ITA,4,0,1,"['USA', 'ESP', 'AUT', 'CZE']",['ESP'],[],12.0,3.0
26,1934,USA,0,1,0,[],[],['ITA'],1.0,7.0
27,1934,CZE,3,1,0,"['ROU', 'CHE', 'DEU']",[],['ITA'],9.0,6.0
28,1934,ROU,0,1,0,[],[],['CZE'],1.0,2.0
29,1938,CHE,1,1,1,['DEU'],['DEU'],['HUN'],5.0,5.0
30,1938,DEU,0,1,1,[],['CHE'],['CHE'],3.0,5.0
31,1938,HUN,3,1,0,"['INH', 'CHE', 'SWE']",[],['ITA'],15.0,5.0
32,1938,INH,0,1,0,[],[],['HUN'],0.0,6.0
33,1938,FRA,1,1,0,['BEL'],[],['ITA'],4.0,4.0
34,1938,BEL,0,1,0,[],[],['FRA'],1.0,3.0
35,1938,CUB,1,1,1,['ROU'],['ROU'],['SWE'],5.0,12.0
36,1938,ROU,0,1,1,[],['CUB'],['CUB'],4.0,5.0
37,1938,ITA,4,0,0,"['NOR', 'FRA', 'BRA', 'HUN']",[],[],11.0,5.0
38,1938,NOR,0,1,0,[],[],['ITA'],1.0,2.0
39,1938,BRA,3,1,1,"['POL', 'CZE', 'SWE']",['CZE'],['ITA'],14.0,11.0
40,1938,POL,0,1,0,[],[],['BRA'],5.0,6.0
41,1938,CZE,1,1,1,['NLD'],['BRA'],['BRA'],5.0,3.0
42,1938,NLD,0,1,0,[],[],['CZE'],0.0,3.0
43,1938,SWE,1,2,0,['CUB'],[],"['HUN', 'BRA']",11.0,9.0
44,1950,BRA,4,1,1,"['MEX', 'YUG', 'SWE', 'ESP']",['CHE'],['URY'],22.0,6.0
45,1950,MEX,0,3,0,[],[],"['BRA', 'YUG', 'CHE']",2.0,10.0
46,1950,ENG,1,2,0,['CHL'],[],"['USA', 'ESP']",2.0,2.0
47,1950,CHL,1,2,0,['USA'],[],"['ENG', 'ESP']",5.0,6.0
48,1950,ESP,3,2,1,"['USA', 'CHL', 'ENG']",['URY'],"['BRA', 'SWE']",10.0,12.0
49,1950,USA,1,2,0,['ENG'],[],"['ESP', 'CHL']",4.0,8.0
50,1950,SWE,2,2,1,"['ITA', 'ESP']",['PRY'],"['BRA', 'URY']",11.0,15.0
51,1950,ITA,1,1,0,['PRY'],[],['SWE'],4.0,3.0
52,1950,YUG,2,1,0,"['CHE', 'MEX']",[],['BRA'],7.0,3.0
53,1950,CHE,1,1,1,['MEX'],['BRA'],['YUG'],4.0,6.0
54,1950,PRY,0,1,1,[],['SWE'],['ITA'],2.0,4.0
55,1950,URY,3,0,1,"['BOL', 'SWE', 'BRA']",['ESP'],[],15.0,5.0
56,1950,BOL,0,1,0,[],[],['URY'],0.0,8.0
57,1954,URY,3,2,0,"['CZE', 'SCT', 'ENG']",[],"['HUN', 'AUT']",16.0,9.0
58,1954,CZE,0,2,0,[],[],"['URY', 'AUT']",0.0,7.0
59,1954,AUT,4,1,0,"['SCT', 'CZE', 'CHE', 'URY']",[],['DEU'],17.0,12.0
60,1954,SCT,0,2,0,[],[],"['AUT', 'URY']",0.0,8.0
61,1954,BRA,1,1,1,['MEX'],['YUG'],['HUN'],8.0,5.0
62,1954,MEX,0,2,0,[],[],"['BRA', 'FRA']",2.0,8.0
63,1954,YUG,1,1,1,['FRA'],['BRA'],['DEU'],2.0,3.0
64,1954,FRA,1,1,0,['MEX'],[],['YUG'],3.0,3.0
65,1954,DEU,5,1,0,"['TUR', 'TUR', 'YUG', 'AUT', 'HUN']",[],['HUN'],25.0,14.0
